"05/20/2022, 00:47:54",WhatsApp
"05/20/2022, 01:04:17",WhatsApp
"05/20/2022, 01:32:25",Terminal
"05/20/2022, 01:33:00",Electron
"05/20/2022, 01:34:00",Electron
"05/20/2022, 01:35:00",Electron
"05/20/2022, 09:38:54",Terminal
"05/20/2022, 09:39:00",Finder
"05/20/2022, 09:40:00",Preview
"05/20/2022, 09:41:00",Preview
"05/20/2022, 09:42:00",Microsoft Word
"05/20/2022, 09:43:00",Microsoft Word
"05/20/2022, 09:44:00",Microsoft Word
"05/20/2022, 09:45:00",Microsoft Word
"05/20/2022, 09:46:00",Microsoft Word
"05/20/2022, 09:47:00",Microsoft Word
"05/20/2022, 09:48:00",Microsoft Word
"05/20/2022, 09:49:00",Microsoft Word
"05/20/2022, 09:50:00",Microsoft Word
"05/20/2022, 09:51:00",Microsoft Word
"05/20/2022, 09:52:00",Microsoft Word
"05/20/2022, 09:53:00",Microsoft Word
"05/20/2022, 09:54:00",Microsoft Word
"05/20/2022, 09:55:00",Microsoft Word
"05/20/2022, 09:56:00",Microsoft Word
"05/20/2022, 09:57:00",Microsoft Word
"05/20/2022, 09:58:00",Microsoft Word
"05/20/2022, 09:59:00",Microsoft Word
"05/20/2022, 10:00:00",Microsoft Word
"05/20/2022, 10:01:00",Microsoft Word
"05/20/2022, 10:02:00",Microsoft Word
"05/20/2022, 10:03:00",Microsoft Word
"05/20/2022, 10:04:00",Microsoft Word
"05/20/2022, 10:05:00",Microsoft Word
"05/20/2022, 10:06:00",Safari
"05/20/2022, 10:07:00",Safari
"05/20/2022, 10:08:00",Microsoft Word
"05/20/2022, 10:09:00",Microsoft Word
"05/20/2022, 10:10:00",Microsoft Word
"05/20/2022, 10:11:00",Microsoft Word
"05/20/2022, 10:12:00",Microsoft Word
"05/20/2022, 10:13:00",Microsoft Word
"05/20/2022, 10:14:00",Microsoft Word
"05/20/2022, 10:15:00",Microsoft Word
"05/20/2022, 10:16:00",Microsoft Word
"05/20/2022, 10:17:00",Microsoft Word
"05/20/2022, 10:18:00",Microsoft Word
"05/20/2022, 10:19:00",Microsoft Word
"05/20/2022, 10:20:00",Microsoft Word
"05/20/2022, 10:21:00",Microsoft Word
"05/20/2022, 10:22:00",Microsoft Word
"05/20/2022, 10:23:00",Microsoft Word
"05/20/2022, 10:24:00",Microsoft Word
"05/20/2022, 10:25:00",Safari
"05/20/2022, 10:26:00",Microsoft Word
"05/20/2022, 10:27:00",Microsoft Word
"05/20/2022, 10:28:00",Microsoft Word
"05/20/2022, 10:29:00",Microsoft Word
"05/20/2022, 10:30:00",Microsoft Word
"05/20/2022, 10:31:00",Microsoft Word
"05/20/2022, 10:32:00",Microsoft Word
"05/20/2022, 10:33:00",Microsoft Word
"05/20/2022, 10:34:00",Microsoft Word
"05/20/2022, 10:35:00",Preview
"05/20/2022, 10:36:00",Preview
"05/20/2022, 10:37:00",Preview
"05/20/2022, 10:38:00",Preview
"05/20/2022, 10:39:00",Preview
"05/20/2022, 10:40:00",Preview
"05/20/2022, 10:41:00",Preview
"05/20/2022, 10:42:00",Preview
"05/20/2022, 10:43:00",Safari
"05/20/2022, 10:44:00",Preview
"05/20/2022, 10:45:00",Microsoft Word
"05/20/2022, 10:46:00",Microsoft Word
"05/20/2022, 10:47:00",Microsoft Word
"05/20/2022, 10:48:00",Microsoft Word
"05/20/2022, 10:49:00",Microsoft Word
"05/20/2022, 10:50:00",Preview
"05/20/2022, 10:51:00",Preview
"05/20/2022, 10:52:00",Preview
"05/20/2022, 10:53:00",Preview
"05/20/2022, 10:54:00",Preview
"05/20/2022, 10:55:00",Preview
"05/20/2022, 10:56:00",Preview
"05/20/2022, 10:57:00",Preview
"05/20/2022, 10:58:00",Preview
"05/20/2022, 10:59:00",Microsoft Word
"05/20/2022, 11:00:00",Microsoft Word
"05/20/2022, 11:01:00",Microsoft Word
"05/20/2022, 11:02:00",Microsoft Word
"05/20/2022, 11:03:00",Microsoft Word
"05/20/2022, 11:04:00",Microsoft Word
"05/20/2022, 11:05:00",Microsoft Word
"05/20/2022, 11:06:00",Safari
"05/20/2022, 11:07:00",Microsoft Word
"05/20/2022, 11:08:00",Preview
"05/20/2022, 11:09:00",Preview
