Terminal,Code
Safari,Unknown Safari
Mail,Mail
wwwyoutube,YouTube
Electron,Code
Preview,Work
Finder,Work
TextEdit,Code
Microsoft PowerPoint,Work
keatskclac,School
WhatsApp,Texting
Microsoft Word,
Spotify,Music
GitHub Desktop,Code
zoom.us,Work
Microsoft Word,Work
Microsoft Excel,Work
Microsoft Outlook,Work
System Preferences,General
